licensePlate,chassis,registrationNumber,model,brand,year
ZZZ1B11,1HGCM82633A100001,10000000001,Model1,Brand1,2016
ZZZ2C12,1HGCM82633A100002,10000000002,Model2,Brand2,2017
ZZZ3D13,1HGCM82633A100003,10000000003,Model3,Brand3,2018
ZZZ4E14,1HGCM82633A100004,10000000004,Model4,Brand4,2019
ZZZ5F15,1HGCM82633A100005,10000000005,Model5,Brand5,2020
ZZZ6G16,1HGCM82633A100006,10000000006,Model6,Brand6,2021
ZZZ7H17,1HGCM82633A100007,10000000007,Model7,Brand7,2022
ZZZ8I18,1HGCM82633A100008,10000000008,Model8,Brand8,2023
ZZZ9J19,1HGCM82633A100009,10000000009,Model9,Brand9,2024
ZZZ0K20,1HGCM82633A100010,10000000010,Model10,Brand10,2015
ZZZ1L21,1HGCM82633A100011,10000000011,Model11,Brand11,2016
ZZZ2M22,1HGCM82633A100012,10000000012,Model12,Brand12,2017
ZZZ3N23,1HGCM82633A100013,10000000013,Model13,Brand13,2018
ZZZ4O24,1HGCM82633A100014,10000000014,Model14,Brand14,2019
ZZZ5P25,1HGCM82633A100015,10000000015,Model15,Brand15,2020
ZZZ6Q26,1HGCM82633A100016,10000000016,Model16,Brand16,2021
ZZZ7R27,1HGCM82633A100017,10000000017,Model17,Brand17,2022
ZZZ8S28,1HGCM82633A100018,10000000018,Model18,Brand18,2023
ZZZ9T29,1HGCM82633A100019,10000000019,Model19,Brand19,2024
ZZZ0U30,1HGCM82633A100020,10000000020,Model20,Brand20,2015
ZZZ1V31,1HGCM82633A100021,10000000021,Model21,Brand21,2016
ZZZ2W32,1HGCM82633A100022,10000000022,Model22,Brand22,2017
ZZZ3X33,1HGCM82633A100023,10000000023,Model23,Brand23,2018
ZZZ4Y34,1HGCM82633A100024,10000000024,Model24,Brand24,2019
ZZZ5Z35,1HGCM82633A100025,10000000025,Model25,Brand25,2020
ZZZ6A36,1HGCM82633A100026,10000000026,Model26,Brand26,2021
ZZZ7B37,1HGCM82633A100027,10000000027,Model27,Brand27,2022
ZZZ8C38,1HGCM82633A100028,10000000028,Model28,Brand28,2023
ZZZ9D39,1HGCM82633A100029,10000000029,Model29,Brand29,2024
ZZZ0E40,1HGCM82633A100030,10000000030,Model30,Brand30,2015
ZZZ1F41,1HGCM82633A100031,10000000031,Model31,Brand31,2016
ZZZ2G42,1HGCM82633A100032,10000000032,Model32,Brand32,2017
ZZZ3H43,1HGCM82633A100033,10000000033,Model33,Brand33,2018
ZZZ4I44,1HGCM82633A100034,10000000034,Model34,Brand34,2019
ZZZ5J45,1HGCM82633A100035,10000000035,Model35,Brand35,2020
ZZZ6K46,1HGCM82633A100036,10000000036,Model36,Brand36,2021
ZZZ7L47,1HGCM82633A100037,10000000037,Model37,Brand37,2022
ZZZ8M48,1HGCM82633A100038,10000000038,Model38,Brand38,2023
ZZZ9N49,1HGCM82633A100039,10000000039,Model39,Brand39,2024
ZZZ0O50,1HGCM82633A100040,10000000040,Model40,Brand40,2015
ZZZ1P51,1HGCM82633A100041,10000000041,Model41,Brand41,2016
ZZZ2Q52,1HGCM82633A100042,10000000042,Model42,Brand42,2017
ZZZ3R53,1HGCM82633A100043,10000000043,Model43,Brand43,2018
ZZZ4S54,1HGCM82633A100044,10000000044,Model44,Brand44,2019
ZZZ5T55,1HGCM82633A100045,10000000045,Model45,Brand45,2020
ZZZ6U56,1HGCM82633A100046,10000000046,Model46,Brand46,2021
ZZZ7V57,1HGCM82633A100047,10000000047,Model47,Brand47,2022
ZZZ8W58,1HGCM82633A100048,10000000048,Model48,Brand48,2023
ZZZ9X59,1HGCM82633A100049,10000000049,Model49,Brand49,2024
ZZZ0Y60,1HGCM82633A100050,10000000050,Model50,Brand50,2015
ZZZ1Z61,1HGCM82633A100051,10000000051,Model51,Brand51,2016
ZZZ2A62,1HGCM82633A100052,10000000052,Model52,Brand52,2017
ZZZ3B63,1HGCM82633A100053,10000000053,Model53,Brand53,2018
ZZZ4C64,1HGCM82633A100054,10000000054,Model54,Brand54,2019
ZZZ5D65,1HGCM82633A100055,10000000055,Model55,Brand55,2020
ZZZ6E66,1HGCM82633A100056,10000000056,Model56,Brand56,2021
ZZZ7F67,1HGCM82633A100057,10000000057,Model57,Brand57,2022
ZZZ8G68,1HGCM82633A100058,10000000058,Model58,Brand58,2023
ZZZ9H69,1HGCM82633A100059,10000000059,Model59,Brand59,2024
ZZZ0I70,1HGCM82633A100060,10000000060,Model60,Brand60,2015
ZZZ1J71,1HGCM82633A100061,10000000061,Model61,Brand61,2016
ZZZ2K72,1HGCM82633A100062,10000000062,Model62,Brand62,2017
ZZZ3L73,1HGCM82633A100063,10000000063,Model63,Brand63,2018
ZZZ4M74,1HGCM82633A100064,10000000064,Model64,Brand64,2019
ZZZ5N75,1HGCM82633A100065,10000000065,Model65,Brand65,2020
ZZZ6O76,1HGCM82633A100066,10000000066,Model66,Brand66,2021
ZZZ7P77,1HGCM82633A100067,10000000067,Model67,Brand67,2022
ZZZ8Q78,1HGCM82633A100068,10000000068,Model68,Brand68,2023
ZZZ9R79,1HGCM82633A100069,10000000069,Model69,Brand69,2024
ZZZ0S80,1HGCM82633A100070,10000000070,Model70,Brand70,2015
ZZZ1T81,1HGCM82633A100071,10000000071,Model71,Brand71,2016
ZZZ2U82,1HGCM82633A100072,10000000072,Model72,Brand72,2017
ZZZ3V83,1HGCM82633A100073,10000000073,Model73,Brand73,2018
ZZZ4W84,1HGCM82633A100074,10000000074,Model74,Brand74,2019
ZZZ5X85,1HGCM82633A100075,10000000075,Model75,Brand75,2020
ZZZ6Y86,1HGCM82633A100076,10000000076,Model76,Brand76,2021
ZZZ7Z87,1HGCM82633A100077,10000000077,Model77,Brand77,2022
ZZZ8A88,1HGCM82633A100078,10000000078,Model78,Brand78,2023
ZZZ9B89,1HGCM82633A100079,10000000079,Model79,Brand79,2024
ZZZ0C90,1HGCM82633A100080,10000000080,Model80,Brand80,2015
ZZZ1D91,1HGCM82633A100081,10000000081,Model81,Brand81,2016
ZZZ2E92,1HGCM82633A100082,10000000082,Model82,Brand82,2017
ZZZ3F93,1HGCM82633A100083,10000000083,Model83,Brand83,2018
ZZZ4G94,1HGCM82633A100084,10000000084,Model84,Brand84,2019
ZZZ5H95,1HGCM82633A100085,10000000085,Model85,Brand85,2020
ZZZ6I96,1HGCM82633A100086,10000000086,Model86,Brand86,2021
ZZZ7J97,1HGCM82633A100087,10000000087,Model87,Brand87,2022
ZZZ8K98,1HGCM82633A100088,10000000088,Model88,Brand88,2023
ZZZ9L10,1HGCM82633A100089,10000000089,Model89,Brand89,2024
ZZZ0M11,1HGCM82633A100090,10000000090,Model90,Brand90,2015
ZZZ1N12,1HGCM82633A100091,10000000091,Model91,Brand91,2016
ZZZ2O13,1HGCM82633A100092,10000000092,Model92,Brand92,2017
ZZZ3P14,1HGCM82633A100093,10000000093,Model93,Brand93,2018
ZZZ4Q15,1HGCM82633A100094,10000000094,Model94,Brand94,2019
ZZZ5R16,1HGCM82633A100095,10000000095,Model95,Brand95,2020
ZZZ6S17,1HGCM82633A100096,10000000096,Model96,Brand96,2021
ZZZ7T18,1HGCM82633A100097,10000000097,Model97,Brand97,2022
ZZZ8U19,1HGCM82633A100098,10000000098,Model98,Brand98,2023
ZZZ9V20,1HGCM82633A100099,10000000099,Model99,Brand99,2024
ZZZ0W21,1HGCM82633A100100,10000000100,Model100,Brand100,2015